episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
311,random_policy,pac,-701.0,251,4,209,0,311
312,random_policy,pac,30.0,500,2,155,0,312
313,random_policy,pac,-70.0,500,1,185,0,313
314,random_policy,pac,40.0,500,0,194,0,314
315,random_policy,pac,210.0,500,0,177,0,315
316,random_policy,pac,-140.0,500,2,168,0,316
317,random_policy,pac,-770.0,500,3,211,0,317
318,random_policy,pac,-678.0,408,4,191,0,318
319,random_policy,pac,-430.0,500,2,197,0,319
320,random_policy,pac,-620.0,500,3,196,0,320
321,random_policy,pac,-609.0,369,4,188,0,321
322,random_policy,pac,-220.0,500,1,200,0,322
323,random_policy,pac,-680.0,500,3,202,0,323
324,random_policy,pac,-510.0,500,3,185,0,324
325,random_policy,pac,30.0,500,1,179,0,325
326,random_policy,pac,0.0,500,1,174,0,326
327,random_policy,pac,120.0,500,0,182,0,327
328,random_policy,pac,-684.0,494,4,183,0,328
329,random_policy,pac,-170.0,500,1,195,0,329
330,random_policy,pac,10.0,500,0,193,0,330
331,random_policy,pac,70.0,500,0,187,0,331
332,random_policy,pac,-798.0,338,4,210,0,332
333,random_policy,pac,-515.0,465,4,193,0,333
334,random_policy,pac,-530.0,500,3,187,0,334
335,random_policy,pac,-140.0,500,1,188,0,335
336,random_policy,pac,-390.0,500,2,193,0,336
337,random_policy,pac,-806.0,296,4,215,0,337
338,random_policy,pac,-130.0,500,2,171,0,338
339,random_policy,pac,-884.0,354,4,217,0,339
340,random_policy,pac,-170.0,500,0,211,0,340
341,random_policy,pac,-826.0,406,4,206,0,341
342,random_policy,pac,-410.0,500,3,175,0,342
343,random_policy,pac,-691.0,401,4,197,0,343
344,random_policy,pac,150.0,500,0,183,0,344
345,random_policy,pac,-596.0,326,4,195,0,345
346,random_policy,pac,-711.0,331,4,202,0,346
347,random_policy,pac,-725.0,345,4,202,0,347
348,random_policy,pac,-864.0,384,4,212,0,348
349,random_policy,pac,-670.0,500,3,201,0,349
350,random_policy,pac,-653.0,453,4,184,0,350
351,random_policy,pac,-340.0,500,2,188,0,351
352,random_policy,pac,-697.0,477,4,186,0,352
353,random_policy,pac,-715.0,445,4,191,0,353
354,random_policy,pac,230.0,500,0,175,0,354
355,random_policy,pac,-821.0,451,4,201,0,355
356,random_policy,pac,-310.0,500,1,205,0,356
357,random_policy,pac,-260.0,500,2,184,0,357
358,random_policy,pac,120.0,500,0,182,0,358
359,random_policy,pac,-695.0,395,4,194,0,359
360,random_policy,pac,-240.0,500,2,178,0,360
361,random_policy,pac,-806.0,486,4,196,0,361
362,random_policy,pac,-741.0,441,4,194,0,362
363,random_policy,pac,-500.0,500,2,204,0,363
