episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
188,greedy_policy,pac,290.0,500,0,165,0,188
189,greedy_policy,pac,870.0,500,0,115,0,189
190,greedy_policy,pac,1240.0,500,0,78,0,190
191,greedy_policy,pac,110.0,500,1,167,0,191
192,greedy_policy,pac,810.0,500,0,141,0,192
193,greedy_policy,pac,520.0,500,1,150,0,193
194,greedy_policy,pac,1320.0,500,0,74,0,194
195,greedy_policy,pac,1160.0,500,0,86,0,195
196,greedy_policy,pac,1320.0,500,0,110,0,196
197,greedy_policy,pac,1240.0,500,0,98,0,197
198,greedy_policy,pac,950.0,500,0,107,0,198
199,greedy_policy,pac,280.0,500,0,190,0,199
200,greedy_policy,pac,720.0,500,0,126,0,200
201,greedy_policy,pac,470.0,500,0,171,0,201
202,greedy_policy,pac,1120.0,500,0,90,0,202
203,greedy_policy,pac,790.0,500,0,139,0,203
204,greedy_policy,pac,800.0,500,0,138,0,204
205,greedy_policy,pac,250.0,500,1,153,0,205
206,greedy_policy,pac,1040.0,500,0,98,0,206
207,greedy_policy,pac,490.0,500,0,149,0,207
208,greedy_policy,pac,450.0,500,0,173,0,208
209,greedy_policy,pac,1040.0,500,0,94,0,209
210,greedy_policy,pac,1790.0,500,0,51,0,210
211,greedy_policy,pac,940.0,500,0,128,0,211
212,greedy_policy,pac,1120.0,500,0,94,0,212
213,greedy_policy,pac,530.0,500,0,145,0,213
214,greedy_policy,pac,990.0,500,1,83,0,214
215,greedy_policy,pac,480.0,500,0,146,0,215
216,greedy_policy,pac,420.0,500,1,136,0,216
217,greedy_policy,pac,710.0,500,0,131,0,217
218,greedy_policy,pac,1210.0,500,0,85,0,218
219,greedy_policy,pac,880.0,500,0,114,0,219
220,greedy_policy,pac,930.0,500,0,105,0,220
221,greedy_policy,pac,1100.0,500,0,88,0,221
222,greedy_policy,pac,880.0,500,0,134,0,222
223,greedy_policy,pac,-30.0,500,0,197,0,223
224,greedy_policy,pac,1060.0,500,0,116,0,224
225,greedy_policy,pac,920.0,500,0,110,0,225
226,greedy_policy,pac,1280.0,500,0,114,0,226
227,greedy_policy,pac,1530.0,500,0,53,0,227
228,greedy_policy,pac,900.0,500,0,108,0,228
229,greedy_policy,pac,1640.0,500,0,62,0,229
230,greedy_policy,pac,600.0,500,0,138,0,230
231,greedy_policy,pac,1170.0,500,0,105,0,231
232,greedy_policy,pac,980.0,500,0,100,0,232
233,greedy_policy,pac,1010.0,500,0,101,0,233
234,greedy_policy,pac,1490.0,500,0,97,0,234
235,greedy_policy,pac,1290.0,500,0,109,0,235
236,greedy_policy,pac,1380.0,500,0,124,0,236
237,greedy_policy,pac,1130.0,500,0,89,0,237
238,greedy_policy,pac,930.0,500,0,105,0,238
239,greedy_policy,pac,-30.0,500,0,197,0,239
240,greedy_policy,pac,1000.0,500,1,122,0,240
241,greedy_policy,pac,550.0,500,0,147,0,241
242,greedy_policy,pac,1000.0,500,0,102,0,242
243,greedy_policy,pac,1230.0,500,0,95,0,243
244,greedy_policy,pac,1800.0,500,0,66,0,244
245,greedy_policy,pac,1610.0,500,0,105,0,245
246,greedy_policy,pac,1210.0,500,1,85,0,246
247,greedy_policy,pac,420.0,500,0,156,0,247
248,greedy_policy,pac,980.0,500,0,108,0,248
249,greedy_policy,pac,930.0,500,0,109,0,249
250,greedy_policy,pac,1780.0,500,0,68,0,250
251,greedy_policy,pac,770.0,500,0,145,0,251
252,greedy_policy,pac,70.0,500,0,187,0,252
253,greedy_policy,pac,1150.0,500,0,91,0,253
254,greedy_policy,pac,300.0,500,0,168,0,254
255,greedy_policy,pac,660.0,500,0,136,0,255
256,greedy_policy,pac,1420.0,500,0,104,0,256
257,greedy_policy,pac,610.0,500,1,137,0,257
258,greedy_policy,pac,1220.0,500,0,104,0,258
259,greedy_policy,pac,1050.0,500,0,117,0,259
260,greedy_policy,pac,-70.0,500,0,201,0,260
261,greedy_policy,pac,1080.0,500,0,94,0,261
262,greedy_policy,pac,30.0,500,0,191,0,262
263,greedy_policy,pac,740.0,500,0,124,0,263
264,greedy_policy,pac,690.0,500,1,113,0,264
265,greedy_policy,pac,1180.0,500,0,104,0,265
266,greedy_policy,pac,460.0,500,1,152,0,266
267,greedy_policy,pac,430.0,500,0,155,0,267
268,greedy_policy,pac,1070.0,500,0,135,0,268
269,greedy_policy,pac,950.0,500,0,123,0,269
270,greedy_policy,pac,1280.0,500,0,74,0,270
271,greedy_policy,pac,1100.0,500,0,92,0,271
272,greedy_policy,pac,790.0,500,0,119,0,272
273,greedy_policy,pac,910.0,500,0,111,0,273
274,greedy_policy,pac,360.0,500,0,182,0,274
275,greedy_policy,pac,450.0,500,1,153,0,275
276,greedy_policy,pac,600.0,500,0,158,0,276
277,greedy_policy,pac,650.0,500,0,153,0,277
278,greedy_policy,pac,1610.0,500,0,65,0,278
279,greedy_policy,pac,610.0,500,1,141,0,279
280,greedy_policy,pac,1040.0,500,0,102,0,280
281,greedy_policy,pac,850.0,500,0,113,0,281
282,greedy_policy,pac,1280.0,500,0,94,0,282
283,greedy_policy,pac,860.0,500,0,132,0,283
284,greedy_policy,pac,700.0,500,0,148,0,284
285,greedy_policy,pac,630.0,500,1,115,0,285
286,greedy_policy,pac,60.0,500,0,188,0,286
287,greedy_policy,pac,1270.0,500,0,99,0,287
288,greedy_policy,pac,1160.0,500,0,86,0,288
289,greedy_policy,pac,820.0,500,0,140,0,289
290,greedy_policy,pac,920.0,500,0,130,0,290
291,greedy_policy,pac,610.0,500,1,141,0,291
292,greedy_policy,pac,680.0,500,0,130,0,292
293,greedy_policy,pac,-140.0,500,1,192,0,293
294,greedy_policy,pac,770.0,500,0,145,0,294
295,greedy_policy,pac,330.0,500,0,165,0,295
296,greedy_policy,pac,970.0,500,0,145,0,296
297,greedy_policy,pac,700.0,500,0,128,0,297
298,greedy_policy,pac,720.0,500,0,126,0,298
299,greedy_policy,pac,460.0,500,0,172,0,299
300,greedy_policy,pac,1280.0,500,0,90,0,300
301,greedy_policy,pac,460.0,500,1,136,0,301
302,greedy_policy,pac,1220.0,500,0,80,0,302
303,greedy_policy,pac,770.0,500,1,125,0,303
304,greedy_policy,pac,-60.0,500,0,200,0,304
305,greedy_policy,pac,830.0,500,0,119,0,305
306,greedy_policy,pac,1250.0,500,0,97,0,306
307,greedy_policy,pac,760.0,500,0,126,0,307
308,greedy_policy,pac,870.0,500,0,107,0,308
309,greedy_policy,pac,940.0,500,1,88,0,309
310,greedy_policy,pac,390.0,500,0,179,0,310
311,greedy_policy,pac,610.0,500,0,137,0,311
312,greedy_policy,pac,760.0,500,0,142,0,312
313,greedy_policy,pac,560.0,500,0,142,0,313
314,greedy_policy,pac,1400.0,500,1,86,0,314
315,greedy_policy,pac,1090.0,500,0,113,0,315
316,greedy_policy,pac,350.0,500,0,163,0,316
317,greedy_policy,pac,1000.0,500,0,98,0,317
318,greedy_policy,pac,920.0,500,0,110,0,318
319,greedy_policy,pac,1670.0,500,0,79,0,319
320,greedy_policy,pac,450.0,500,0,153,0,320
321,greedy_policy,pac,0.0,500,0,194,0,321
322,greedy_policy,pac,1080.0,500,0,114,0,322
323,greedy_policy,pac,990.0,500,0,119,0,323
324,greedy_policy,pac,820.0,500,0,120,0,324
325,greedy_policy,pac,860.0,500,0,136,0,325
326,greedy_policy,pac,810.0,500,0,141,0,326
327,greedy_policy,pac,410.0,500,0,157,0,327
328,greedy_policy,pac,710.0,500,0,131,0,328
329,greedy_policy,pac,90.0,500,0,189,0,329
330,greedy_policy,pac,640.0,500,0,138,0,330
331,greedy_policy,pac,560.0,500,1,162,0,331
332,greedy_policy,pac,570.0,500,1,121,0,332
333,greedy_policy,pac,930.0,500,0,109,0,333
334,greedy_policy,pac,1570.0,500,0,85,0,334
335,greedy_policy,pac,1040.0,500,0,102,0,335
336,greedy_policy,pac,1290.0,500,0,69,0,336
337,greedy_policy,pac,1150.0,500,0,107,0,337
338,greedy_policy,pac,1220.0,500,0,100,0,338
339,greedy_policy,pac,590.0,500,0,139,0,339
340,greedy_policy,pac,270.0,500,0,171,0,340
341,greedy_policy,pac,0.0,500,0,194,0,341
342,greedy_policy,pac,990.0,500,0,123,0,342
343,greedy_policy,pac,970.0,500,0,101,0,343
344,greedy_policy,pac,1260.0,500,0,136,0,344
345,greedy_policy,pac,920.0,500,0,114,0,345
346,greedy_policy,pac,360.0,500,0,162,0,346
347,greedy_policy,pac,1270.0,500,0,79,0,347
348,greedy_policy,pac,1530.0,500,0,69,0,348
349,greedy_policy,pac,1090.0,500,0,93,0,349
350,greedy_policy,pac,1200.0,500,0,102,0,350
351,greedy_policy,pac,580.0,500,0,140,0,351
352,greedy_policy,pac,640.0,500,0,130,0,352
353,greedy_policy,pac,860.0,500,0,136,0,353
354,greedy_policy,pac,1310.0,500,0,95,0,354
355,greedy_policy,pac,210.0,500,1,177,0,355
356,greedy_policy,pac,980.0,500,1,104,0,356
357,greedy_policy,pac,970.0,500,0,125,0,357
358,greedy_policy,pac,450.0,500,0,173,0,358
359,greedy_policy,pac,720.0,500,0,130,0,359
360,greedy_policy,pac,890.0,500,0,133,0,360
361,greedy_policy,pac,1050.0,500,0,93,0,361
362,greedy_policy,pac,760.0,500,0,122,0,362
363,greedy_policy,pac,600.0,500,0,158,0,363
364,greedy_policy,pac,800.0,500,0,122,0,364
365,greedy_policy,pac,610.0,500,0,141,0,365
366,greedy_policy,pac,530.0,500,0,145,0,366
367,greedy_policy,pac,1070.0,500,0,99,0,367
368,greedy_policy,pac,1030.0,500,0,99,0,368
369,greedy_policy,pac,1100.0,500,0,112,0,369
370,greedy_policy,pac,-60.0,500,0,200,0,370
371,greedy_policy,pac,870.0,500,0,115,0,371
372,greedy_policy,pac,1040.0,500,0,98,0,372
373,greedy_policy,pac,800.0,500,0,122,0,373
374,greedy_policy,pac,430.0,500,0,175,0,374
375,greedy_policy,pac,820.0,500,1,100,0,375
376,greedy_policy,pac,300.0,500,1,144,0,376
377,greedy_policy,pac,1120.0,500,0,114,0,377
378,greedy_policy,pac,690.0,500,0,129,0,378
379,greedy_policy,pac,1500.0,500,0,56,0,379
380,greedy_policy,pac,30.0,500,1,171,0,380
381,greedy_policy,pac,1360.0,500,0,70,0,381
382,greedy_policy,pac,520.0,500,0,166,0,382
383,greedy_policy,pac,470.0,500,0,151,0,383
384,greedy_policy,pac,660.0,500,0,152,0,384
385,greedy_policy,pac,370.0,500,1,161,0,385
386,greedy_policy,pac,1210.0,500,0,85,0,386
387,greedy_policy,pac,1060.0,500,0,96,0,387
388,greedy_policy,pac,780.0,500,0,124,0,388
389,greedy_policy,pac,1690.0,500,0,57,0,389
390,greedy_policy,pac,1080.0,500,0,114,0,390
391,greedy_policy,pac,810.0,500,0,121,0,391
392,greedy_policy,pac,1030.0,500,0,99,0,392
393,greedy_policy,pac,1040.0,500,0,114,0,393
394,greedy_policy,pac,1500.0,500,0,76,0,394
395,greedy_policy,pac,1240.0,500,0,102,0,395
396,greedy_policy,pac,880.0,500,0,114,0,396
397,greedy_policy,pac,1250.0,500,0,97,0,397
398,greedy_policy,pac,920.0,500,1,110,0,398
399,greedy_policy,pac,1050.0,500,0,97,0,399
400,greedy_policy,pac,1310.0,500,0,75,0,400
401,greedy_policy,pac,640.0,500,0,134,0,401
402,greedy_policy,pac,780.0,500,1,144,0,402
403,greedy_policy,pac,800.0,500,0,122,0,403
404,greedy_policy,pac,230.0,500,1,155,0,404
405,greedy_policy,pac,740.0,500,0,124,0,405
406,greedy_policy,pac,950.0,500,0,127,0,406
407,greedy_policy,pac,380.0,500,1,140,0,407
408,greedy_policy,pac,1230.0,500,0,119,0,408
409,greedy_policy,pac,920.0,500,0,110,0,409
410,greedy_policy,pac,710.0,500,0,131,0,410
411,greedy_policy,pac,930.0,500,1,109,0,411
412,greedy_policy,pac,550.0,500,1,127,0,412
413,greedy_policy,pac,820.0,500,0,116,0,413
414,greedy_policy,pac,1250.0,500,0,117,0,414
415,greedy_policy,pac,730.0,500,0,125,0,415
416,greedy_policy,pac,980.0,500,0,100,0,416
417,greedy_policy,pac,1170.0,500,0,85,0,417
418,greedy_policy,pac,1590.0,500,0,83,0,418
419,greedy_policy,pac,1040.0,500,0,118,0,419
420,greedy_policy,pac,590.0,500,2,103,0,420
421,greedy_policy,pac,2050.0,500,0,57,0,421
422,greedy_policy,pac,1090.0,500,0,133,0,422
423,greedy_policy,pac,40.0,500,2,154,0,423
424,greedy_policy,pac,1020.0,500,0,140,0,424
425,greedy_policy,pac,210.0,500,0,177,0,425
426,greedy_policy,pac,850.0,500,0,113,0,426
427,greedy_policy,pac,630.0,500,1,135,0,427
428,greedy_policy,pac,460.0,500,1,132,0,428
429,greedy_policy,pac,400.0,500,0,158,0,429
430,greedy_policy,pac,1290.0,500,0,93,0,430
431,greedy_policy,pac,-40.0,500,0,198,0,431
432,greedy_policy,pac,530.0,500,0,145,0,432
433,greedy_policy,pac,440.0,500,0,154,0,433
434,greedy_policy,pac,960.0,500,0,126,0,434
435,greedy_policy,pac,930.0,500,0,109,0,435
436,greedy_policy,pac,700.0,500,0,128,0,436
437,greedy_policy,pac,-30.0,500,0,197,0,437
438,greedy_policy,pac,520.0,500,0,166,0,438
439,greedy_policy,pac,1140.0,500,0,108,0,439
440,greedy_policy,pac,1490.0,500,0,77,0,440
441,greedy_policy,pac,1550.0,500,0,51,0,441
442,greedy_policy,pac,850.0,500,0,113,0,442
443,greedy_policy,pac,1680.0,500,0,62,0,443
444,greedy_policy,pac,1370.0,500,0,85,0,444
445,greedy_policy,pac,130.0,500,0,185,0,445
446,greedy_policy,pac,1030.0,500,0,119,0,446
