episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
155,bfs_policy,pac,3066.0,334,1,0,1,155
156,bfs_policy,pac,3234.0,366,0,0,1,156
157,bfs_policy,pac,3638.0,362,0,0,1,157
158,bfs_policy,pac,1827.0,323,4,5,0,158
159,bfs_policy,pac,3085.0,315,2,0,1,159
160,bfs_policy,pac,2584.0,416,3,0,1,160
161,bfs_policy,pac,3235.0,365,0,0,1,161
162,bfs_policy,pac,2850.0,350,2,0,1,162
163,bfs_policy,pac,2868.0,332,2,0,1,163
164,bfs_policy,pac,3486.0,314,0,0,1,164
165,bfs_policy,pac,1136.0,274,4,35,0,165
166,bfs_policy,pac,1223.0,337,4,20,0,166
167,bfs_policy,pac,2832.0,368,2,0,1,167
168,bfs_policy,pac,3231.0,369,0,0,1,168
169,bfs_policy,pac,3242.0,358,0,0,1,169
170,bfs_policy,pac,3005.0,395,2,0,1,170
171,bfs_policy,pac,3868.0,332,0,0,1,171
172,bfs_policy,pac,3258.0,342,0,0,1,172
173,bfs_policy,pac,3040.0,360,1,0,1,173
174,bfs_policy,pac,2856.0,344,2,0,1,174
175,bfs_policy,pac,2807.0,393,3,0,1,175
176,bfs_policy,pac,3450.0,350,1,0,1,176
177,bfs_policy,pac,3440.0,360,0,0,1,177
178,bfs_policy,pac,3460.0,340,0,0,1,178
179,bfs_policy,pac,2826.0,374,2,0,1,179
180,bfs_policy,pac,3446.0,354,0,0,1,180
181,bfs_policy,pac,3081.0,319,1,0,1,181
182,bfs_policy,pac,3856.0,344,0,0,1,182
183,bfs_policy,pac,3222.0,378,0,0,1,183
184,bfs_policy,pac,3410.0,390,0,0,1,184
185,bfs_policy,pac,3260.0,340,0,0,1,185
186,bfs_policy,pac,3239.0,361,1,0,1,186
187,bfs_policy,pac,3422.0,378,0,0,1,187
188,bfs_policy,pac,3209.0,391,0,0,1,188
189,bfs_policy,pac,3450.0,350,0,0,1,189
190,bfs_policy,pac,2848.0,352,2,0,1,190
191,bfs_policy,pac,3444.0,356,0,0,1,191
192,bfs_policy,pac,3067.0,333,2,0,1,192
193,bfs_policy,pac,3234.0,366,0,0,1,193
194,bfs_policy,pac,3231.0,369,1,0,1,194
195,bfs_policy,pac,2654.0,346,3,0,1,195
196,bfs_policy,pac,3048.0,352,1,0,1,196
197,bfs_policy,pac,3228.0,372,0,0,1,197
198,bfs_policy,pac,3435.0,365,0,0,1,198
199,bfs_policy,pac,3238.0,362,0,0,1,199
200,bfs_policy,pac,2648.0,352,3,0,1,200
201,bfs_policy,pac,2638.0,362,3,0,1,201
202,bfs_policy,pac,3247.0,353,1,0,1,202
203,bfs_policy,pac,3455.0,345,0,0,1,203
204,bfs_policy,pac,3266.0,334,0,0,1,204
205,bfs_policy,pac,2667.0,333,3,0,1,205
206,bfs_policy,pac,3651.0,349,0,0,1,206
207,bfs_policy,pac,875.0,265,4,62,0,207
208,bfs_policy,pac,2632.0,368,3,0,1,208
209,bfs_policy,pac,3466.0,334,0,0,1,209
210,bfs_policy,pac,3264.0,336,0,0,1,210
211,bfs_policy,pac,3264.0,336,0,0,1,211
212,bfs_policy,pac,3188.0,412,2,0,1,212
213,bfs_policy,pac,3058.0,342,2,0,1,213
214,bfs_policy,pac,3231.0,369,0,0,1,214
215,bfs_policy,pac,3075.0,325,2,0,1,215
216,bfs_policy,pac,3250.0,350,0,0,1,216
217,bfs_policy,pac,3444.0,356,0,0,1,217
218,bfs_policy,pac,3682.0,318,0,0,1,218
219,bfs_policy,pac,2867.0,333,2,0,1,219
220,bfs_policy,pac,3638.0,362,1,0,1,220
221,bfs_policy,pac,3254.0,346,0,0,1,221
222,bfs_policy,pac,1229.0,301,4,23,0,222
223,bfs_policy,pac,2878.0,322,2,0,1,223
